year;access_date_week;IGR;access_count;year_access;count_physician;rate_access_per_physician
2021;2021-01;Campina Grande;2;2021;2373;8.428150021070376
2021;2021-01;Campo Belo;0;2021;35;0.0
2021;2021-01;Campos dos Goytacazes;0;2021;1009;0.0
2021;2021-01;Caratinga;0;2021;716;0.0
2021;2021-01;Carazinho;0;2021;48;0.0
2021;2021-01;Cascavel;0;2021;36;0.0
2021;2021-01;Catalão;0;2021;250;0.0
2021;2021-01;Catanduva;0;2021;13;0.0
2021;2021-01;Caxias do Sul;0;2021;3731;0.0
2021;2021-01;Conceição do Coité;0;2021;33;0.0
2021;2021-01;Cruz Alta;0;2021;226;0.0
2021;2021-01;Curitiba;14;2021;16261;8.609556607834696
2021;2021-01;Curitibanos;0;2021;10;0.0
2021;2021-01;Distrito Federal;18;2021;11128;16.175413371675052
2021;2021-01;Eunápolis - Porto Seguro;0;2021;17;0.0
2021;2021-01;Frederico Westphalen;0;2021;238;0.0
2021;2021-01;Goiana ¿ Timbaúba;0;2021;730;0.0
2021;2021-01;Guarabira;0;2021;22;0.0
2021;2021-01;Guarapuava;0;2021;11;0.0
2021;2021-01;Gurupi;0;2021;32;0.0
2021;2021-01;Ijuí;1;2021;472;21.1864406779661
2021;2021-01;Imperatriz;0;2021;10;0.0
2021;2021-01;Itacoatiara;0;2021;14;0.0
2021;2021-01;Jaú;0;2021;172;0.0
2021;2021-01;Ji-Paraná;0;2021;16;0.0
2021;2021-01;Joaçaba - Herval d'Oeste;0;2021;659;0.0
2021;2021-01;Joinville;0;2021;33;0.0
2021;2021-01;Juiz de Fora;2;2021;2594;7.710100231303007
2021;2021-01;Linhares;0;2021;733;0.0
2021;2021-01;Maceió;0;2021;46;0.0
2021;2021-01;Manaus;18;2021;3961;45.443069931835396
2021;2021-01;Mantena;0;2021;118;0.0
2021;2021-01;Maringá;5;2021;2708;18.46381093057607
2021;2021-01;Marília;1;2021;1054;9.487666034155598
2021;2021-01;Monteiro;0;2021;5;0.0
2021;2021-01;Mossoró;0;2021;35;0.0
2021;2021-01;Natal;0;2021;34;0.0
2021;2021-01;Nazaré ¿ Maragogipe;0;2021;23;0.0
2021;2021-01;Nova Prata - Guaporé;0;2021;387;0.0
2021;2021-01;Oliveira;0;2021;431;0.0
2021;2021-01;Passo Fundo;0;2021;1722;0.0
2021;2021-01;Passos;0;2021;455;0.0
2021;2021-01;Patos;0;2021;27;0.0
2021;2021-01;Pinheiro;0;2021;189;0.0
2021;2021-01;Pirapora;0;2021;153;0.0
2021;2021-01;Piumhi;0;2021;36;0.0
2021;2021-01;Ponte Nova;0;2021;12;0.0
2021;2021-01;Porto Alegre;10;2021;15348;6.515506906437321
2021;2021-01;Princesa Isabel;0;2021;12;0.0
2021;2021-01;Quirinópolis;0;2021;65;0.0
2021;2021-01;Resende;0;2021;509;0.0
2021;2021-01;Ribeirão Preto;1;2021;6135;1.6299918500407498
2021;2021-01;Rio Claro;0;2021;189;0.0
2021;2021-01;Rio de Janeiro;18;2021;40419;4.45335114673792
2021;2021-01;Russas - Limoeiro do Norte;2;2021;1039;19.249278152069298
2021;2021-01;Salvador;13;2021;12015;10.81980857261756
2021;2021-01;Santa Cruz do Sul;0;2021;1042;0.0
2021;2021-01;Santa Inês;0;2021;44;0.0
2021;2021-01;Santa Maria;0;2021;1110;0.0
2021;2021-01;Santa Maria da Vitoria;0;2021;13;0.0
2021;2021-01;Santana do Livramento;0;2021;89;0.0
2021;2021-01;Santos;0;2021;1071;0.0
2021;2021-01;Serra Talhada;0;2021;94;0.0
2021;2021-01;Soledade;0;2021;129;0.0
2021;2021-01;São Miguel do Oeste;0;2021;262;0.0
2021;2021-01;São Paulo;79;2021;73318;10.774980223137566
2021;2021-01;Teófilo Otoni;3;2021;555;54.054054054054056
2021;2021-01;Toledo;0;2021;42;0.0
2021;2021-01;Uberaba;0;2021;1886;0.0
2021;2021-01;Uberlândia;2;2021;3083;6.487187804086928
2021;2021-01;Uruguaiana;0;2021;222;0.0
2021;2021-01;Valença;0;2021;19;0.0
2021;2021-01;Vitória;0;2021;54;0.0
2021;2021-01;Vitória da Conquista;0;2021;14;0.0
2021;2021-01;Volta Redonda - Barra Mansa;1;2021;2694;3.711952487008166
2021;2021-02;Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá;0;2021;431;0.0
2021;2021-02;Alegre;0;2021;309;0.0
2021;2021-02;Araranguá;0;2021;502;0.0
2021;2021-02;Atalaia;0;2021;29;0.0
2021;2021-02;Bagé;0;2021;158;0.0
2021;2021-02;Belo Horizonte;25;2021;32062;7.797392551930634
2021;2021-02;Belém;5;2021;7079;7.063144511936714
2021;2021-02;Bento Gonçalves;0;2021;545;0.0
2021;2021-02;Boa Vista;0;2021;89;0.0
2021;2021-02;Bragança Paulista;0;2021;24;0.0
2021;2021-02;Brumado;0;2021;246;0.0
2021;2021-02;Camacan;0;2021;2;0.0
2021;2021-02;Campina Grande;0;2021;2373;0.0
2021;2021-02;Campo Belo;1;2021;35;285.7142857142857
2021;2021-02;Campos dos Goytacazes;0;2021;1009;0.0
2021;2021-02;Caratinga;1;2021;716;13.966480446927374
2021;2021-02;Carazinho;0;2021;48;0.0
2021;2021-02;Cascavel;0;2021;36;0.0
2021;2021-02;Catalão;0;2021;250;0.0
2021;2021-02;Catanduva;0;2021;13;0.0
2021;2021-02;Caxias do Sul;1;2021;3731;2.6802465826856072
2021;2021-02;Conceição do Coité;0;2021;33;0.0
2021;2021-02;Cruz Alta;0;2021;226;0.0
2021;2021-02;Curitiba;16;2021;16261;9.839493266096797
2021;2021-02;Curitibanos;0;2021;10;0.0
2021;2021-02;Distrito Federal;28;2021;11128;25.16175413371675
2021;2021-02;Eunápolis - Porto Seguro;0;2021;17;0.0
