access_state,access_city,year_access,count_physician
MG,PIEDADE DE CARATINGA,2021,16
MG,MONTE ALEGRE DE MINAS,2024,54
RS,TAQUARUCU DO SUL,2024,4
SP,ALTINOPOLIS,2023,9
RS,MONTE BELO DO SUL,2024,19
RS,GUAIBA,2021,296
BA,LAURO DE FREITAS,2022,718
PR,ITAMBE,2021,6
RJ,SAQUAREMA,2021,307
MG,IBIAI,2023,11
MG,SAO JOSE DA BARRA,2022,19
ES,ANCHIETA,2023,58
RS,FORMIGUEIRO,2023,4
SP,JARDINOPOLIS,2023,53
BA,RIO DE CONTAS,2023,14
ES,IRUPI,2022,21
PR,CAMPO MAGRO,2024,19
SC,IPORA DO OESTE,2024,8
MG,BELO HORIZONTE,2023,15453
RS,SERAFINA CORREA,2023,78
GO,CATALAO,2024,248
MG,BOM JARDIM DE MINAS,2021,96
SP,BATATAIS,2023,223
MG,VESPASIANO,2023,346
ES,DOMINGOS MARTINS,2022,98
SP,ITAPECERICA DA SERRA,2024,170
SP,BARRA BONITA,2024,143
MG,NOVA UNIAO,2024,21
RJ,PINHEIRAL,2024,50
BA,ITAMBE,2022,63
SC,GRAMADO,2022,4
RR,SAO PAULO,2022,13
SC,MELEIRO,2024,7
SP,DIADEMA,2021,1346
SP,GUARAREMA,2021,86
SP,GUARAREMA,2022,55
PR,INDIANOPOLIS,2022,11
SP,SERRANA,2022,267
SP,CAIEIRAS,2022,79
MG,ATALEIA,2024,32
AM,PRESIDENTE FIGUEIREDO,2023,28
RS,SAO PEDRO DO SUL,2021,25
PB,OLIVEDOS,2021,20
RS,ERVAL SECO,2022,14
RS,SANTA CRUZ DO SUL,2024,313
BA,BRUMADO,2022,103
MG,UBERABA,2022,1323
RS,CRUZ ALTA,2022,107
RS,SERTAO SANTANA,2022,6
PR,ALMIRANTE TAMANDARE,2023,121
PB,SANTA LUZIA,2022,55
ES,DIVINO DE SAO LOURENCO,2023,14
PI,NOVA SANTA RITA,2022,4
RS,PICADA CAFE,2022,10
MG,PIEDADE DOS GERAIS,2021,9
MG,FORTALEZA DE MINAS,2022,27
RS,IJUI,2022,322
MG,CENTRALINA,2021,26
BA,CATU,2024,51
RS,SEBERI,2021,25
MG,SAO JOSE DA LAPA,2021,90
PB,JUNCO DO SERIDO,2021,30
PR,CAMPO MAGRO,2022,36
SP,BARRINHA,2022,110
MG,MOEDA,2021,53
PB,AREIA,2022,98
MA,DAVINOPOLIS,2024,15
RS,SAO VICENTE DO SUL,2023,18
PB,MATINHAS,2022,15
RS,CAMPESTRE DA SERRA,2022,6
PR,LAPA,2024,149
PA,BENEVIDES,2023,96
PB,MASSARANDUBA,2023,34
MG,SAO JOAQUIM DE BICAS,2022,160
BA,SAO FRANCISCO DO CONDE,2021,41
PR,QUITANDINHA,2023,57
MG,BURITIZEIRO,2022,39
MG,BOCAINA DE MINAS,2023,20
RS,CAPIVARI DO SUL,2021,8
MG,SAO JOSE DO DIVINO,2022,6
PB,TAPEROA,2022,18
SP,SANTA ERNESTINA,2021,16
RJ,BARRA MANSA,2024,340
MG,CAPETINGA,2024,10
RS,AUGUSTO PESTANA,2023,6
PA,MARITUBA,2023,313
ES,ANCHIETA,2024,37
RJ,PORTO REAL,2024,50
RS,BARAO,2023,22
MG,IMBE DE MINAS,2021,10
RJ,ANCHIETA,2022,2
ES,SANTA TERESA,2021,71
RS,SELBACH,2023,35
SC,DIONISIO CERQUEIRA,2022,33
RS,NOVA PALMA,2021,7
RS,JAGUARI,2024,13
RS,ESPUMOSO,2022,27
AL,BARRA DE SAO MIGUEL,2024,8
PR,CAMPO DO TENENTE,2023,17
SP,GARCA,2022,45
PB,CATURITE,2023,28
MG,PAVAO,2022,20
PR,CAMPO MAGRO,2021,56
MG,FRANCISCOPOLIS,2022,8
PR,CURITIBA,2022,11676
SP,RIO GRANDE DA SERRA,2024,52
MG,PIRAPORA,2021,80
RS,BAGE,2023,100
SC,ARARANGUA,2021,184
MG,PIRAPORA,2024,135
SP,VARGEM,2023,43
RS,CAPIVARI DO SUL,2022,16
PR,TIJUCAS DO SUL,2022,23
MG,LASSANCE,2021,8
MG,SAO JOSE DA BARRA,2021,16
MG,RAUL SOARES,2024,147
PA,ANANINDEUA,2024,859
MG,MARIO CAMPOS,2024,196
SP,SAO CAETANO DO SUL,2023,483
MA,SANTA HELENA,2023,37
MG,SARZEDO,2021,263
SC,ITAPIRANGA,2024,35
MG,PAVAO,2023,12
SP,FRANCISCO MORATO,2022,428
MG,LADAINHA,2023,16
ES,LARANJA DA TERRA,2024,13
PR,FLORIDA,2023,93
MG,BOM JARDIM DE MINAS,2022,46
RS,GRAVATAI,2024,435
MG,PRATAPOLIS,2023,28
RJ,QUATIS,2021,47
BA,MALHADA DE PEDRAS,2022,13
SP,MAIRIPORA,2021,275
PB,BOQUEIRAO,2024,23
RS,SAO SEPE,2024,18
RJ,ITAGUAI,2023,196
MG,VARGEM BONITA,2023,33
RS,SAO JOAO DO POLESINE,2022,10
RS,MARIANA PIMENTEL,2024,3
RS,NOVA RAMADA,2021,1
PB,SANTA CECILIA,2024,1
SP,ALTO ALEGRE,2023,4
MG,PONTO DOS VOLANTES,2022,12
RS,PORTO ALEGRE,2024,9991
SP,MARILIA,2023,829
SP,SAO CAETANO DO SUL,2024,650
MG,CARATINGA,2022,203
MG,VESPASIANO,2022,332
MG,PEDRO LEOPOLDO,2024,193
ES,BREJETUBA,2023,43
PE,GOIANA,2023,308
PR,MARIALVA,2022,110
MG,CENTRALINA,2024,9
BA,MATA DE SAO JOAO,2024,60
PB,SANTA LUZIA,2021,27
MG,PEDRO TEIXEIRA,2023,5
SC,ERMO,2022,2
MG,GUARACIABA,2021,12
SP,COTIA,2024,703
MG,CARMO DO RIO CLARO,2023,40
MG,BOM JARDIM DE MINAS,2024,37
RJ,PARACAMBI,2024,66
PE,CACHOEIRINHA,2024,18
SP,GUARIBA,2024,24
ES,SOORETAMA,2021,11
MG,CONFINS,2023,11
PR,COLOMBO,2023,468
SP,POMPEIA,2023,174
RJ,QUEIMADOS,2023,109
SC,ARARANGUA,2022,178
PR,MANDIRITUBA,2021,59
RS,AMETISTA DO SUL,2024,9
MG,CASCALHO RICO,2021,38
RS,ANTONIO PRADO,2022,41
PB,SAO SEBASTIAO DE LAGOA DE ROCA,2022,16
BA,SAO SEBASTIAO DO PASSE,2021,29
RS,PONTAO,2024,2
MG,ARACITABA,2024,13
RS,ALTO FELIZ,2022,11
SP,CARAPICUIBA,2024,723
SP,SERTAOZINHO,2022,289
MG,EWBANK DA CAMARA,2021,4
SP,BELO HORIZONTE,2024,49
MG,CENTRAL DE MINAS,2023,29
BA,RIO DE CONTAS,2021,14
MG,RIO PRETO,2022,3
RS,JAGUARI,2022,23
MG,IBIRACI,2022,52
PB,SAO JOAO DO CARIRI,2024,4
MG,PORTO ALEGRE,2021,8
MG,LIMA DUARTE,2024,87
RS,PINTO BANDEIRA,2021,3
MG,PADRE PARAISO,2024,62
RJ,NILOPOLIS,2023,198
MG,PASSA TEMPO,2022,9
BA,DIAS DAVILA,2024,40
RS,CATUIPE,2022,25
RS,SARANDI,2024,53
SC,TREZE TILIAS,2023,23
PI,SAO PAULO,2023,28
MG,SAO FRANCISCO DE PAULA,2023,2
SP,GUARULHOS,2021,3913
SC,CAMPOS NOVOS,2024,81
MG,SABARA,2024,239
RS,IBIRUBA,2023,105
SC,SAO JOSE DO CEDRO,2022,30
MG,SANTA RITA DE JACUTINGA,2022,14
RS,PANTANO GRANDE,2021,15
RS,CONDOR,2024,17
PI,SAO JOSE DO DIVINO,2024,24
GO,CAMPO ALEGRE DE GOIAS,2024,12
DF,BRASILIA,2021,11128
RS,GRAVATAI,2022,1024
ES,VENDA NOVA DO IMIGRANTE,2024,102
MG,LAGOA SANTA,2023,383
MG,ARAGUARI,2023,321
MG,OLIVEIRA,2021,153
RS,AJURICABA,2023,15
MG,BOM JESUS DA PENHA,2022,39
SC,MARACAJA,2023,3
MG,SANTOS DUMONT,2023,81
ES,IBITIRAMA,2022,27
PA,CONCORDIA DO PARA,2022,9
PR,DOUTOR CAMARGO,2022,7
PE,TERRA NOVA,2021,13
MG,BOM JARDIM DE MINAS,2023,63
SP,ALTINOPOLIS,2021,22
SC,BALNEARIO GAIVOTA,2023,12
SC,MELEIRO,2022,18
MG,SANTA RITA DE MINAS,2023,5
PR,CURITIBA,2023,11158
MG,JUIZ DE FORA,2021,2154
PB,BOQUEIRAO,2022,25
RS,AGUDO,2023,62
MG,SANTA LUZIA,2021,1703
RS,PANAMBI,2022,150
PR,MANDIRITUBA,2024,57
RS,NOVA PETROPOLIS,2023,99
MG,DELTA,2021,43
SP,SANTA ROSA DE VITERBO,2023,33
RS,DOM PEDRITO,2024,15
SP,DUMONT,2021,6
SC,LACERDOPOLIS,2023,1
RJ,DUQUE DE CAXIAS,2021,2012
RS,PANAMBI,2023,154
SP,RIBEIRAO PIRES,2021,216
SC,MELEIRO,2021,13
RS,ENCRUZILHADA DO SUL,2024,39
PA,BUJARU,2024,89
RS,SARANDI,2022,67
GO,SAO SIMAO,2023,96
RS,CACEQUI,2022,11
RS,NOVA PRATA,2023,66
PR,ANGULO,2023,8
PR,CAMPO MAGRO,2023,16
BA,SANTA LUZIA,2021,2
ES,BREJETUBA,2021,19
SC,CELSO RAMOS,2021,6
MG,SACRAMENTO,2024,37
RJ,NITEROI,2023,2265
ES,ALEGRE,2024,93
PB,CAMPINA GRANDE,2022,1351
RS,SANTA MARIA,2024,766
RJ,MESQUITA,2024,148
MG,UBAPORANGA,2023,36
RS,VERA CRUZ,2024,59
BA,QUEIMADAS,2024,30
PA,BUJARU,2023,30
MG,ITAU DE MINAS,2023,38
MG,ARANTINA,2023,21
RS,MATO LEITAO,2021,4
MG,ALVARENGA,2022,10
MG,SAO JOAO DO MANTENINHA,2024,11
GO,DAVINOPOLIS,2024,5
RS,ALTO FELIZ,2021,4
MG,BETIM,2021,2316
CE,PEREIRO,2024,535
SP,GUARAREMA,2024,74
ES,AFONSO CLAUDIO,2021,33
SP,MAIRIPORA,2024,86
SC,MARACAJA,2024,7
ES,IUNA,2021,40
BA,DIAS DAVILA,2022,121
MG,MATIAS BARBOSA,2021,98
RS,TUPANCIRETA,2022,27
RS,SAO SEPE,2021,15
MG,CANDEIAS,2021,35
RS,SERAFINA CORREA,2021,46
SC,AGUA DOCE,2022,8
RS,SAO JOAO DO POLESINE,2021,26
RS,GUAPORE,2022,45
PA,ACARA,2022,21
MG,SAO JOSE DA LAPA,2023,43
SC,ZORTEA,2024,11
RS,BARRA DO RIBEIRO,2021,59
MG,LASSANCE,2024,13
PR,NOVA AURORA,2023,13
PB,SOLEDADE,2024,34
MG,LASSANCE,2023,3
BA,MADRE DE DEUS,2022,42
SP,SUZANO,2024,389
CE,RUSSAS,2023,133
MG,CARMO DO RIO CLARO,2024,33
SC,TUNAPOLIS,2022,4
SP,GARCA,2021,66
SP,CAIEIRAS,2024,113
MG,ATALEIA,2021,9
SP,ITAPECERICA DA SERRA,2022,262
SC,SAO PAULO,2021,6
MG,CASSIA,2021,42
SC,ANCHIETA,2024,6
MG,RIO PRETO,2024,9
MG,SIMAO PEREIRA,2021,7
SP,SAO BERNARDO DO CAMPO,2024,1763
SP,SANTO ANDRE,2024,2442
PR,RIO BRANCO DO SUL,2024,158
SC,VARGEM,2023,5
SP,MONTE ALTO,2023,68
PB,ALAGOA NOVA,2022,51
MG,GOIANA,2022,21
PB,ALCANTIL,2024,7
SP,SANTANA DE PARNAIBA,2021,911
RS,NOVA PETROPOLIS,2024,79
ES,GUACUI,2024,21
SC,IPORA DO OESTE,2022,14
SP,GUARIBA,2023,26
PB,SERTAOZINHO,2022,8
SP,ORIENTE,2023,5
RN,CARAUBAS,2024,24
RS,PEJUCARA,2023,13
RS,NOVA RAMADA,2024,3
PR,FAZENDA RIO GRANDE,2021,961
BA,BRUMADO,2023,96
RS,BAGE,2021,67
SP,POA,2022,184
RS,PARAI,2023,30
PB,AREIAL,2022,30
PB,ALCANTIL,2021,8
PB,RIACHAO DO BACAMARTE,2024,4
RS,ENCRUZILHADA DO SUL,2021,12
RS,ARROIO DOS RATOS,2023,19
ES,LINHARES,2021,451
PE,ITAMBE,2024,34
SC,SAO JOAO DO OESTE,2022,28
RJ,SAO JOAO DE MERITI,2021,1017
MG,SERRA DOS AIMORES,2021,11
BA,CATU,2023,46
SP,MAIRIPORA,2022,205
MG,SETUBINHA,2021,16
MG,CENTRAL DE MINAS,2022,43
PR,NOVA AURORA,2021,20
RS,TAQUARUCU DO SUL,2022,3
PA,BELEM,2022,10905
SP,GUATAPARA,2021,6
CE,JAGUARIBE,2022,156
RS,VALE VERDE,2022,21
RS,FREDERICO WESTPHALEN,2021,79
BA,QUEIMADAS,2021,33
MG,PASSA TEMPO,2024,36
AM,PRESIDENTE FIGUEIREDO,2021,24
RJ,MESQUITA,2023,240
AM,ITAPIRANGA,2024,51
PB,ALAGOA GRANDE,2024,33
AM,BORBA,2022,14
AM,ITAPIRANGA,2023,34
MG,CARLOS CHAGAS,2022,41
MG,FREI GASPAR,2022,18
MG,VESPASIANO,2024,199
RS,GRAMADO,2021,247
SP,SALESOPOLIS,2021,46
PB,AREIAL,2024,5
SP,SERRANA,2024,144
SC,DIONISIO CERQUEIRA,2023,20
SP,VERA CRUZ,2023,27
PB,SERRA REDONDA,2023,21
RS,ACEGUA,2024,14
PB,TENORIO,2022,20
RJ,MAGE,2022,538
SP,SAO BERNARDO DO CAMPO,2022,2639
RS,URUGUAIANA,2021,108
RJ,TANGUA,2022,34
ES,MUNIZ FREIRE,2024,27
RS,GUAPORE,2023,43
PA,BENEVIDES,2022,195
PR,ARAUCARIA,2022,683
MG,RIO NOVO,2021,19
MG,ITAMBACURI,2024,52
RJ,SAO JOAO DA BARRA,2021,88
AM,MANAQUIRI,2022,3
PB,PRATA,2024,11
SP,OSCAR BRESSANE,2021,7
PB,SANTO ANDRE,2022,2
SP,LUPERCIO,2021,49
SP,PARAISO,2021,13
SP,RIBEIRAO PIRES,2023,204
RJ,SAO GONCALO,2024,604
PA,ANANINDEUA,2022,1857
SP,FERRAZ DE VASCONCELOS,2023,345
SP,DUMONT,2022,16
BA,CANAPOLIS,2024,11
PB,SERRA REDONDA,2024,11
RS,BARRA DO RIBEIRO,2022,75
MA,DAVINOPOLIS,2022,20
RS,SAO VICENTE DO SUL,2024,17
SC,FLOR DO SERTAO,2022,5
MG,NOVA LIMA,2024,446
RJ,RESENDE,2024,273
RS,ESTEIO,2021,261
BA,PARAMIRIM,2024,38
PR,PIRAQUARA,2023,106
RS,FREDERICO WESTPHALEN,2023,113
SC,JABORA,2023,12
BA,SAO PAULO,2022,25
SC,ABDON BATISTA,2023,7
RS,NOVA BASSANO,2021,29
MG,PRATAPOLIS,2024,11
SC,GUARUJA DO SUL,2023,28
MG,LIBERDADE,2024,26
PB,SANTA CECILIA,2023,13
RS,VALE VERDE,2024,26
CE,BONFIM,2023,6
SP,VARGEM,2021,24
PB,BOA VISTA,2022,29
MG,MONTE ALEGRE DE MINAS,2022,34
PB,CABACEIRAS,2023,14
MG,CONTAGEM,2024,1521
SP,ARUJA,2024,216
PR,PINHAIS,2022,873
RS,VIAMAO,2023,410
MG,ALPINOPOLIS,2024,40
BA,LAURO DE FREITAS,2024,500
SP,MAUA,2021,871
MG,SETUBINHA,2022,10
RN,BRASILIA,2022,116
PR,IVATUBA,2023,23
PR,QUITANDINHA,2021,38
SP,JARDINOPOLIS,2021,104
PB,ASSUNCAO,2022,14
RS,TRES PALMEIRAS,2024,8
BA,ARACATU,2024,7
GO,CATALAO,2023,218
MG,NOVO CRUZEIRO,2021,28
BA,TERRA NOVA,2024,17
BA,JUSSIAPE,2022,10
RS,ITAARA,2024,8
RS,NOVA ARACA,2021,53
ES,IBITIRAMA,2024,29
SP,POMPEIA,2022,46
RS,DOM PEDRITO,2022,16
DF,BRASILIA,2023,12157
RS,CANOAS,2024,2627
SP,BARUERI,2022,1552
RS,SANTA MARIA,2023,712
RS,PINHEIRO MACHADO,2024,18
RJ,SEROPEDICA,2024,52
SP,CARAPICUIBA,2022,933
ES,DORES DO RIO PRETO,2021,11
RS,FAXINAL DO SOTURNO,2022,22
RR,PORTO ALEGRE,2021,105
MG,GUAPE,2022,22
RS,CONDOR,2021,8
SC,PRAIA GRANDE,2021,10
SC,PALMA SOLA,2022,8
BA,SALVADOR,2021,10178
SP,ITAPEVI,2023,453
SP,MARILIA,2022,887
SP,OSASCO,2024,2139
CE,LIMOEIRO DO NORTE,2021,172
PR,CAMPO LARGO,2022,501
RS,SANTO ANTONIO DA PATRULHA,2024,57
RS,RODEIO BONITO,2021,19
RS,GUAPORE,2024,54
MG,OURO VERDE DE MINAS,2024,13
RS,DOM PEDRITO,2021,19
RJ,SAO FIDELIS,2023,46
SC,SOMBRIO,2024,85
RS,INHACORA,2021,3
GO,GOIANDIRA,2021,13
MG,CAMPO FLORIDO,2024,31
SC,ITAPIRANGA,2021,28
PR,CONTENDA,2022,69
MG,PIEDADE DE CARATINGA,2024,10
RJ,GUAPIMIRIM,2024,561
AM,AUTAZES,2021,77
PB,CATURITE,2024,1
PR,CATANDUVAS,2023,8
MG,BELO HORIZONTE,2022,23274
RS,SEBERI,2024,40
SC,ITAPIRANGA,2022,32
MG,NANUQUE,2024,74
RS,NOVA PRATA,2024,151
RS,PINHEIRO MACHADO,2021,38
BA,BELMONTE,2023,26
MG,CASSIA,2024,51
RJ,JAPERI,2021,234
PB,AROEIRAS,2022,31
RS,FELIZ,2021,41
BA,ITANAGRA,2024,6
TO,SANTA TERESA,2022,4
DF,BRASILIA,2024,12381
RJ,ITAGUAI,2024,272
RS,ROSARIO DO SUL,2023,65
SC,PASSO DE TORRES,2022,24
SP,POMPEIA,2024,82
PB,ALAGOA GRANDE,2022,32
MG,INHAPIM,2024,23
MG,DELTA,2023,10
RS,QUEVEDOS,2022,9
MG,BURITIZEIRO,2023,14
MG,CAMPO FLORIDO,2021,14
RS,MOSTARDAS,2024,13
RS,NITEROI,2023,8
RJ,MAGE,2023,323
RS,SANTO ANTONIO DA PATRULHA,2021,94
RS,CACHOEIRINHA,2021,504
SP,ITAPEVI,2024,152
BA,TAPEROA,2024,41
PR,SANTA FE,2024,63
SP,SAO LOURENCO DA SERRA,2023,69
PA,BENEVIDES,2024,114
SP,SERRA AZUL,2024,10
RJ,ANCHIETA,2021,6
DF,BRASILIA,2022,13408
ES,SANTA TERESA,2023,84
BA,CANDEIAS,2023,103
RS,MATO CASTELHANO,2023,20
SP,SANTANA DE PARNAIBA,2023,610
MG,NOVO CRUZEIRO,2023,21
CE,LIMOEIRO DO NORTE,2022,167
MG,JABOTICATUBAS,2024,22
SP,ITAPEVI,2022,337
RS,VISTA ALEGRE DO PRATA,2024,11
MG,ALPINOPOLIS,2022,66
MG,VISTA ALEGRE,2021,5
PB,CUBATI,2022,17
SC,BALNEARIO GAIVOTA,2024,9
SP,OSCAR BRESSANE,2022,12
PR,RIO NEGRO,2022,83
RN,VERA CRUZ,2021,34
BA,SANTO AMARO,2023,51
PB,MASSARANDUBA,2024,14
PR,PAICANDU,2024,36
SP,SAO LOURENCO DA SERRA,2022,21
RS,ARROIO DOS RATOS,2022,43
SC,SAO JOAO DO SUL,2022,11
SC,NITEROI,2023,4
RS,LAGOA DOS TRES CANTOS,2023,1
PR,NOVA AURORA,2024,9
RJ,SANTA LUZIA,2021,7
MG,BETIM,2023,731
PR,PIEN,2022,47
RJ,SAO FIDELIS,2022,57
PB,BELEM,2021,21
RJ,CAMPOS DOS GOYTACAZES,2023,494
RS,SARANDI,2023,43
MG,IBIRITE,2023,415
SC,TREZE TILIAS,2021,33
RS,SALTO DO JACUI,2024,16
MG,VARZEA DA PALMA,2023,54
SC,AGUA DOCE,2023,12
SC,FLOR DO SERTAO,2024,5
DF,SANTA MARIA,2022,54
BA,VERA CRUZ,2021,23
MG,FLORESTAL,2021,23
GO,GOIANDIRA,2022,17
RS,VICENTE DUTRA,2021,3
SP,SANTA LUZIA,2022,27
PB,SAO DOMINGOS DO CARIRI,2024,15
SP,SAO PAULO,2021,40955
RS,CANOAS,2023,881
SP,GUARULHOS,2024,2488
PR,IVATUBA,2024,11
MG,SALVADOR,2022,20
SP,GETULINA,2022,15
SP,CAJURU,2022,40
PB,FAGUNDES,2021,41
MG,UBAPORANGA,2022,31
ES,SAO PAULO,2024,7
RJ,RIO CLARO,2024,45
MG,CAETE,2021,304
RJ,MANGARATIBA,2022,81
PR,PRESIDENTE CASTELO BRANCO,2023,20
MG,NOVA PONTE,2024,47
ES,JOAO NEIVA,2024,20
PB,UMBUZEIRO,2021,19
MG,ITAIPE,2021,38
MG,MANTENA,2022,59
MG,PIRACEMA,2024,71
RJ,SEROPEDICA,2023,44
RS,NOVA PETROPOLIS,2021,85
PR,CERRO AZUL,2021,8
MG,LIMA DUARTE,2021,18
PE,FLORESTA,2024,82
PR,SANTA MARIA,2021,2
PR,PITANGUEIRAS,2022,12
BA,SALVADOR,2023,10248
PB,ALCANTIL,2022,23
MG,JUATUBA,2023,102
CE,PEREIRO,2023,234
RS,FLORES DA CUNHA,2023,77
AM,CAREIRO,2021,40
PR,MANDAGUACU,2022,57
BA,ITAMBE,2023,30
RS,CAICARA,2023,2
RJ,MANGARATIBA,2021,223
RJ,ITATIAIA,2023,109
SP,GALIA,2021,9
RS,VALE REAL,2022,13
SC,MARACAJA,2021,7
PR,ADRIANOPOLIS,2024,8
RS,FORTALEZA DOS VALOS,2021,11
RJ,RIO DE JANEIRO,2021,25628
RJ,ITALVA,2021,34
RS,RONDA ALTA,2023,26
ES,SANTA MARIA DE JETIBA,2023,107
SP,CRAVINHOS,2021,149
RS,NOVA ROMA DO SUL,2023,13
RS,DOIS LAJEADOS,2023,7
PR,FLORAI,2021,48
SC,DIONISIO CERQUEIRA,2024,18
RJ,MENDES,2023,29
PB,BARRA DE SANTANA,2024,6
RJ,NITEROI,2022,2663
SC,ARARANGUA,2024,327
RS,AUGUSTO PESTANA,2021,10
MG,MARIO CAMPOS,2023,95
SC,CAPINZAL,2022,25
MG,SANTA BARBARA DO LESTE,2022,7
PR,PIEN,2023,32
RS,GLORINHA,2021,82
MG,CORREGO NOVO,2022,20
AM,IRACEMA,2021,6
RR,IRACEMA,2023,3
MG,POTE,2021,10
RS,PORTO ALEGRE,2021,9128
SP,BARRA BONITA,2022,83
RS,CAXIAS DO SUL,2024,1673
CE,LIMOEIRO DO NORTE,2024,162
MG,MANTENA,2023,52
RS,GRAMADO XAVIER,2022,2
RS,FAXINAL DO SOTURNO,2024,32
BA,BRUMADO,2024,99
RJ,ITATIAIA,2024,114
RS,SANTO ANTONIO DA PATRULHA,2022,220
MG,SANTA JULIANA,2022,22
RS,ERVAL SECO,2021,15
PB,AREIA,2021,44
RS,VILA FLORES,2023,11
RJ,SAO GONCALO,2023,1375
RJ,SAO FIDELIS,2021,34
PR,PIRAQUARA,2022,246
SP,BIRITIBA MIRIM,2024,40
PR,OURIZONA,2024,13
SC,MASSARANDUBA,2023,67
SP,JANDIRA,2021,664
RS,SOLEDADE,2023,136
SP,CARAPICUIBA,2021,1246
MG,TUPACIGUARA,2022,71
RS,FARROUPILHA,2023,234
ES,SANTA TERESA,2022,103
SP,BELO HORIZONTE,2022,38
MG,IBIRACI,2021,31
MG,NOVO CRUZEIRO,2024,16
MG,VERISSIMO,2022,6
SC,BALNEARIO ARROIO DO SILVA,2021,13
SP,FRANCO DA ROCHA,2021,575
SC,CAMPOS NOVOS,2023,87
RJ,BELFORD ROXO,2021,1098
SC,CAMPOS NOVOS,2022,91
RS,BAGE,2024,83
RS,SANTANA DO LIVRAMENTO,2021,37
BA,QUEIMADAS,2023,26
MG,CORONEL PACHECO,2021,27
MG,MALACACHETA,2021,11
PB,RIACHAO DO BACAMARTE,2022,58
RS,JACUIZINHO,2022,4
SP,GETULINA,2023,17
RS,PINHEIRINHO DO VALE,2022,11
RS,GRAMADO,2024,251
MG,ARAGUARI,2022,239
SP,PITANGUEIRAS,2022,70
RJ,MARICA,2022,443
RS,SERTAO,2022,6
SP,ITAQUAQUECETUBA,2021,650
RS,AJURICABA,2024,16
RS,FELIZ,2023,36
ES,SOORETAMA,2022,34
MG,ENTRE FOLHAS,2023,30
ES,SAO PAULO,2021,4
RS,SAO SEPE,2022,14
PB,REMIGIO,2024,46
RS,IJUI,2023,293
AM,BORBA,2021,29
RS,ALVORADA,2024,429
PR,CATANDUVAS,2021,16
MG,ITAGUARA,2021,61
RS,SAO FRANCISCO DE ASSIS,2023,17
RS,PARAI,2021,20
PB,AREIAL,2023,9
BA,SAO PAULO,2021,7
RS,CORONEL BICACO,2021,5
ES,SAO JOSE DO CALCADO,2023,5
ES,ARACRUZ,2023,473
SP,SAO CAETANO DO SUL,2021,1185
PB,CAMPINA GRANDE,2023,1467
MG,JUIZ DE FORA,2022,2225
PR,RIO BRANCO DO SUL,2023,62
SP,ITAQUAQUECETUBA,2022,655
RN,SAO PAULO,2024,47
RS,CACEQUI,2024,15
MG,TUPACIGUARA,2021,101
SP,SANTA LUZIA,2023,12
MG,SAO JOAO DO MANTENINHA,2023,8
RS,PALMITINHO,2023,23
PB,ITATUBA,2021,13
CE,MORADA NOVA,2023,65
MG,SANTOS DUMONT,2021,71
RJ,SAO JOAO DA BARRA,2023,78
SC,SANTA MARIA,2023,12
ES,DOMINGOS MARTINS,2021,60
PB,AROEIRAS,2021,28
MA,SANTO AMARO,2022,11
MG,SANTA BARBARA DO MONTE VERDE,2023,7
CE,PALHANO,2023,10
GO,CATALAO,2022,166
RS,SAO PEDRO DO SUL,2024,26
RO,NOVA UNIAO,2021,16
AM,RIO PRETO DA EVA,2022,14
PR,NOVA ESPERANCA,2023,31
RS,ANTONIO PRADO,2023,49
MG,SAO JOAQUIM DE BICAS,2021,100
RS,GRAVATAI,2023,639
RS,CAXIAS DO SUL,2022,1659
MG,ANDRELANDIA,2023,47
MG,RIO NOVO,2023,10
MG,SAO JOAO BATISTA DO GLORIA,2023,12
PB,QUEIMADAS,2023,40
SP,BARRINHA,2024,47
SP,JARDINOPOLIS,2024,97
MG,PONTO DOS VOLANTES,2021,8
PB,SERTAOZINHO,2023,26
BA,SAUBARA,2023,22
MG,MENDES PIMENTEL,2024,13
PR,MARINGA,2023,2157
MG,SANTOS DUMONT,2024,128
MG,IBIAI,2024,10
RJ,BELFORD ROXO,2023,487
MG,TEOFILO OTONI,2023,191
SP,RIO CLARO,2023,626
RS,GARIBALDI,2022,174
RS,AGUDO,2024,53
PR,GRAMADO,2022,4
RJ,CARDOSO MOREIRA,2021,26
MG,TAQUARACU DE MINAS,2023,13
ES,ITARANA,2022,11
CE,JAGUARETAMA,2022,27
RJ,SAO GONCALO,2022,2266
RS,CARLOS BARBOSA,2024,112
RJ,VOLTA REDONDA,2022,1354
PA,ANANINDEUA,2023,857
ES,IBITIRAMA,2023,23
SP,BARRA BONITA,2021,172
BA,MATA DE SAO JOAO,2023,68
SC,TREZE TILIAS,2022,24
RS,PANTANO GRANDE,2022,19
PR,SAO JORGE DO IVAI,2023,12
MG,PIEDADE DE CARATINGA,2022,21
ES,APIACA,2023,9
BA,TAPEROA,2022,20
RR,BOA VISTA,2023,564
MG,NOVO CRUZEIRO,2022,22
RS,ANDRE DA ROCHA,2021,4
CE,ALTO SANTO,2021,17
RS,NOVA PALMA,2024,8
RJ,ITAGUAI,2022,384
MG,ITAU DE MINAS,2021,18
RS,CARLOS BARBOSA,2022,53
RJ,ENGENHEIRO PAULO DE FRONTIN,2021,21
CE,SAO JOAO DO JAGUARIBE,2023,12
PB,BOA VISTA,2024,18
MG,CASCALHO RICO,2022,10
SC,TIMBE DO SUL,2024,20
