access_state,access_city,year_access,count_physician
RS,ANTONIO PRADO,2024,21
SC,MASSARANDUBA,2022,38
DF,SANTA MARIA,2023,15
SP,MARILIA,2024,1597
RS,NOVA PRATA,2022,107
RJ,SAO JOAO DE MERITI,2022,1211
RR,BOA VISTA,2021,86
RS,CACHOEIRINHA,2022,608
ES,BREJETUBA,2024,46
RS,TAQUARUCU DO SUL,2023,7
RS,TAQUARUCU DO SUL,2021,18
PB,JUAZEIRINHO,2021,12
MG,MOEDA,2023,8
SP,PRADOPOLIS,2024,17
MG,PESCADOR,2021,4
MG,SARZEDO,2023,49
MG,VARGEM ALEGRE,2024,18
SC,SANTA ROSA DO SUL,2021,97
PA,ACARA,2023,65
SC,HERVAL DOESTE,2021,50
PR,MARIALVA,2023,52
MG,GUAPE,2021,18
MG,EWBANK DA CAMARA,2023,4
PB,PRATA,2021,5
MG,DELFINOPOLIS,2022,5
PE,ITAMBE,2021,40
SP,CAJAMAR,2023,169
SC,JABORA,2024,10
MG,BRUMADINHO,2021,460
RS,GARIBALDI,2021,115
PB,SERRA REDONDA,2021,2
RR,CACHOEIRINHA,2021,4
RS,SERTAO SANTANA,2023,9
RJ,CARDOSO MOREIRA,2023,14
MG,SACRAMENTO,2021,34
SC,DESCANSO,2022,3
GO,NOVA AURORA,2024,3
PR,NOVA ESPERANCA,2022,62
SP,SANTA ROSA DE VITERBO,2024,43
MG,IGARAPE,2023,72
MG,PASSOS,2022,315
RO,NOVA UNIAO,2022,31
MG,CARMOPOLIS DE MINAS,2023,75
PB,SANTA LUZIA,2023,37
PR,SARANDI,2021,152
RS,TUPANCIRETA,2021,22
CE,IRACEMA,2024,13
SC,CATANDUVAS,2021,16
RS,QUEVEDOS,2021,4
RS,MOSTARDAS,2022,17
RJ,MAUA,2023,2
SC,BARRA BONITA,2024,7
MA,DAVINOPOLIS,2023,33
PR,PINHAIS,2024,315
SP,PARAISO,2022,27
PR,LAPA,2022,136
MG,SAO JOAQUIM DE BICAS,2024,46
SC,SANTA ROSA DO SUL,2024,36
RS,TAPERA,2021,21
SP,VERA CRUZ,2024,33
MG,GUAPE,2024,14
CE,ALTO SANTO,2023,13
SP,GUARIBA,2022,27
MG,PASSOS,2024,273
RJ,ITATIAIA,2021,82
RS,NOVA ARACA,2023,24
RS,ALEGRETE,2023,77
MG,MATIAS BARBOSA,2022,32
MG,CAMPO FLORIDO,2022,18
SP,VARGEM,2022,34
PR,BOCAIUVA DO SUL,2024,19
