date_week,igr,access_count,count_physician,rate_access_per_physician,count_hospitalization,precipitation_weekly_sum,rain_days,sequential_rain,temp_max_weekly_mean,temp_mean_weekly_mean,temp_min_weekly_mean,humidity_weekly_mean,lag_1_precipitation,lag_2_precipitation,lag_3_precipitation,lag_4_precipitation,lag_1_temp_mean,lag_2_temp_mean,lag_3_temp_mean,lag_4_temp_mean,lag_1_humidity,lag_2_humidity,lag_3_humidity,lag_4_humidity,change_temperature,percentile_temp_mean_weekly_mean,percentile_lag_temp_mean_weekly_mean,change_temperature_above75,change_precipitation,percentile_precipitation_weekly_sum,percentile_lag_precipitation_weekly_sum,change_precipitation_above75,change_humidity,percentile_humidity_weekly_mean,percentile_lag_humidity_weekly_mean,change_humidity_above75,interaction_temperature_precipitation,interaction_temperature_humidity,interaction_precipitation_humidity,interaction_temperature_precipitation_humidity,interaction_temperature_precipitation_above75,interaction_temperature_humidity_above75,interaction_precipitation_humidity_above75,interaction_temperature_precipitation_humidity_above75,extreme_weather_temperature,extreme_weather_precipitation,extreme_weather_humidity,season_summer,season_autumn,season_winter,season_spring,temperature_category_quantile_01,temperature_category_quantile_02,temperature_category_quantile_03,temperature_category_quantile_04,precipitation_occurrence
2021-05,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,0,431,0.0,0,0.0,0.0,0.0,30.071428571428573,22.81428571428572,16.6,66.24285714285715,8.4,14.8,16.0,15.4,21.457142857142856,22.32857142857143,23.25,22.789285714285715,72.02857142857142,73.48571428571428,78.91666666666667,76.20119047619048,0,0.8947368421052632,0.638755980861244,1,0,0.0095693779904306,0.4473684210526316,0,0,0.0143540669856459,0.1004784688995215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2021-06,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,0,431,0.0,0,53.60000000000001,3.0,2.0,28.585714285714285,22.61428571428572,18.214285714285715,74.01428571428572,0.0,8.4,14.8,16.0,22.81428571428572,21.457142857142856,22.32857142857143,23.25,66.24285714285715,72.02857142857142,73.48571428571428,78.91666666666667,0,0.8373205741626795,0.8947368421052632,0,1,0.84688995215311,0.0095693779904306,1,0,0.1818181818181818,0.0143540669856459,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2021-07,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,0,431,0.0,0,83.2,6.0,8.0,27.457142857142856,21.2,17.114285714285717,78.82857142857142,53.60000000000001,0.0,8.4,14.8,22.61428571428572,22.81428571428572,21.457142857142856,22.32857142857143,74.01428571428572,66.24285714285715,72.02857142857142,73.48571428571428,0,0.5933014354066986,0.8373205741626795,0,0,0.9090909090909092,0.84688995215311,0,0,0.5550239234449761,0.1818181818181818,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2021-08,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,0,431,0.0,0,103.8,6.0,6.0,28.457142857142856,22.385714285714283,19.1,81.77142857142857,83.2,53.60000000000001,0.0,8.4,21.2,22.61428571428572,22.81428571428572,21.457142857142856,78.82857142857142,74.01428571428572,66.24285714285715,72.02857142857142,1,0.7822966507177034,0.5933014354066986,1,0,0.9425837320574164,0.9090909090909092,0,1,0.8133971291866029,0.5550239234449761,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2021-09,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,0,431,0.0,0,32.2,7.0,13.0,28.057142857142857,21.557142857142857,17.657142857142855,81.34285714285714,103.8,83.2,53.60000000000001,0.0,22.385714285714283,21.2,22.61428571428572,22.81428571428572,81.77142857142857,78.82857142857142,74.01428571428572,66.24285714285715,0,0.6650717703349283,0.7822966507177034,0,0,0.6961722488038278,0.9425837320574164,0,0,0.7894736842105263,0.8133971291866029,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2021-10,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,0,431,0.0,0,26.8,3.0,14.0,30.057142857142857,22.142857142857142,16.900000000000002,74.81428571428572,32.2,103.8,83.2,53.60000000000001,21.557142857142857,22.385714285714283,21.2,22.61428571428572,81.34285714285714,81.77142857142857,78.82857142857142,74.01428571428572,0,0.7296650717703349,0.6650717703349283,0,0,0.6411483253588517,0.6961722488038278,0,0,0.2296650717703349,0.7894736842105263,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2021-11,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,1,431,23.20185614849188,0,88.4,7.0,8.0,28.071428571428573,21.77142857142857,18.014285714285712,82.02857142857142,26.8,32.2,103.8,83.2,22.142857142857142,21.557142857142857,22.385714285714283,21.2,74.81428571428572,81.34285714285714,81.77142857142857,78.82857142857142,0,0.6818181818181818,0.7296650717703349,0,0,0.9186602870813396,0.6411483253588517,1,1,0.8373205741626795,0.2296650717703349,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
2021-12,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,1,431,23.20185614849188,1,0.4,2.0,1.0,28.885714285714283,21.2,15.55714285714286,75.65714285714286,88.4,26.8,32.2,103.8,21.77142857142857,22.142857142857142,21.557142857142857,22.385714285714283,82.02857142857142,74.81428571428572,81.34285714285714,81.77142857142857,0,0.5933014354066986,0.6818181818181818,0,0,0.0645933014354067,0.9186602870813396,0,0,0.3157894736842105,0.8373205741626795,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2021-13,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,1,431,23.20185614849188,0,19.0,4.0,3.0,30.728571428571428,22.6,17.4,78.41428571428571,0.4,88.4,26.8,32.2,21.2,21.77142857142857,22.142857142857142,21.557142857142857,75.65714285714286,82.02857142857142,74.81428571428572,81.34285714285714,1,0.8301435406698564,0.5933014354066986,1,0,0.5885167464114832,0.0645933014354067,0,0,0.5023923444976076,0.3157894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2021-14,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,1,431,23.20185614849188,0,39.400000000000006,5.0,7.0,28.542857142857144,21.214285714285715,16.900000000000002,81.05714285714285,19.0,0.4,88.4,26.8,22.6,21.2,21.77142857142857,22.142857142857142,78.41428571428571,75.65714285714286,82.02857142857142,74.81428571428572,0,0.6076555023923444,0.8301435406698564,0,1,0.7607655502392344,0.5885167464114832,1,1,0.7703349282296651,0.5023923444976076,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
